setting,regime,signal,arm,seed,rep,device,test_acc,test_auc,test_dp,test_eo,secs
income,clustered,uniform,across,30,0,cuda,0.7995143011332974,0.7460567051991134,0.018382275859248173,0.0020873078217932967,6.1
income,clustered,uniform,across,31,0,cuda,0.8051807879114948,0.7533729653997303,0.0351274629799002,0.03928851980698014,6.4
income,clustered,uniform,across,32,0,cuda,0.8108472746896924,0.7597375326507684,0.040763268994336695,0.013129839524183617,2.9
income,clustered,uniform,across,33,0,cuda,0.8130059363194819,0.7619877491786098,0.034056807632277496,0.036404443945685094,5.5
income,clustered,uniform,across,34,0,cuda,0.8113869400971397,0.7554880531112016,0.029240061551511924,0.03789698125911792,4.0
income,clustered,uniform,across,35,0,cuda,0.8089584457636265,0.7534993001185273,0.038864960973495524,0.004342946919537655,5.7
income,clustered,uniform,across,36,0,cuda,0.8108472746896924,0.7541854542194295,0.03849409833462396,0.007103579845135266,3.6
german,saturated,uniform,within,27,0,cuda,0.672,0.5965333333333334,0.07405891980360069,0.07668067226890751,4.6
german,saturated,uniform,within,27,1,cuda,0.684,0.6143238095238095,0.08046917621385707,0.06722689075630262,3.8
german,saturated,uniform,within,27,2,cuda,0.708,0.5722666666666667,0.02564102564102566,0.008403361344537785,4.2
german,saturated,uniform,within,27,3,cuda,0.672,0.6290285714285714,0.10801963993453356,0.12184873949579833,3.7
german,saturated,uniform,within,27,4,cuda,0.664,0.6302857142857143,0.13338788870703766,0.16806722689075626,2.5
german,saturated,uniform,within,27,5,cuda,0.68,0.6276571428571428,0.11238406983087834,0.10294117647058831,3.1
german,saturated,uniform,within,27,6,cuda,0.568,0.6531809523809524,0.10201854882705946,0.13550420168067223,4.8
german,saturated,uniform,within,27,7,cuda,0.66,0.6413714285714286,0.14416257501363883,0.16701680672268915,4.7
german,saturated,uniform,within,27,8,cuda,0.66,0.638095238095238,0.13134206219312605,0.15861344537815136,4.6
german,saturated,uniform,within,27,9,cuda,0.676,0.6156952380952381,0.08469721767594107,0.07668067226890751,4.3
german,saturated,uniform,across,27,0,cuda,0.664,0.6305142857142857,0.13338788870703766,0.16806722689075626,3.9
