cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
NIFTY/German D1,22,4,996,992,999,False,0.06700952380952385,-0.4392946317103621,-0.4,0.05093333333333333,-0.448501872659176,-0.39599999999999996
NIFTY/German D1,23,0,446,996,521,False,0.08784761904761906,-0.039705882352941146,-0.027999999999999914,0.0816,-0.10220588235294126,-0.06800000000000006
NIFTY/German D1,23,1,486,746,482,False,0.03798095238095234,-0.05661764705882366,-0.0040000000000000036,0.07146666666666668,-0.1639705882352941,-0.09599999999999997
NIFTY/German D1,23,2,908,911,776,False,-0.031847619047619014,-0.13970588235294112,-0.128,-0.00316190476190481,-0.19044117647058822,-0.14800000000000002
NIFTY/German D1,23,3,882,879,524,False,0.07299047619047616,-0.29485294117647065,-0.22399999999999998,0.0991238095238095,-0.12720588235294117,-0.04799999999999999
NIFTY/German D1,23,4,851,851,999,False,-0.03131428571428574,-0.061764705882352944,-0.05999999999999994,0.004038095238095174,-0.11911764705882355,-0.09199999999999997
NIFTY/German D1,24,0,466,465,554,False,0.06704761904761902,-0.15895930185139873,-0.11120345744680848,0.09348571428571428,-0.13457303645705898,-0.11120345744680848
NIFTY/German D1,24,1,657,952,695,False,0.026514285714285712,-0.07022265720577436,-0.024767287234042534,0.07840000000000003,-0.2110757686974961,-0.18151595744680848
NIFTY/German D1,24,2,999,942,743,False,0.044571428571428595,-0.18522143381453393,-0.15026595744680848,0.06304761904761913,-0.1841611614060844,-0.13115026595744683
NIFTY/German D1,24,3,894,914,642,False,0.04022857142857139,-0.346056602234728,-0.33527260638297873,0.04053333333333331,-0.41668705652067534,-0.38563829787234044
NIFTY/German D1,24,4,979,998,979,False,0.03733333333333333,-0.18016475002038979,-0.11768617021276595,0.032914285714285674,-0.16271103498898942,-0.07729388297872342
NIFTY/German D1,25,0,473,473,442,False,0.060114285714285676,-0.018300060496067805,-0.01927437641723362,0.08819047619047615,-0.018300060496067805,-0.01927437641723362
NIFTY/German D1,25,1,329,368,238,False,-0.0040761904761904555,0.051724137931034475,0.031746031746031744,0.06472380952380952,0.09785238959467635,0.08163265306122447
NIFTY/German D1,25,2,941,999,671,False,-0.0011428571428571122,0.06473079249848757,0.05442176870748294,0.004266666666666641,0.005747126436781658,-0.0011337868480725266
NIFTY/German D1,25,3,844,990,857,False,-0.01729523809523814,-0.05641258318209319,-0.04308390022675729,0.04548571428571424,-0.17982456140350872,-0.2403628117913832
NIFTY/German D1,25,4,804,922,804,False,-0.10399999999999998,0.0009074410163339985,0.017006802721088454,-0.08830476190476189,0.0009074410163339985,0.017006802721088454
FairGB/Bail,20,0,200,790,267,True,0.0569324102389851,-0.03011656261772,-0.003752001830244711,0.04498056925426952,-0.16336307666648453,-0.022794173720735222
FairGB/Bail,20,1,100,971,89,True,0.01656463420607157,-0.015316546514336282,-0.044398688324563396,0.06533607384142559,-0.007287859486474535,-0.03646762754518418
FairGB/Bail,20,2,150,1378,68,True,0.06189168908970133,-0.03146342375191585,0.006566003202928439,0.06761530261148008,0.0031874275707183264,-0.04073057271410041
