arm,split_id,run_id,seed,hidden,lr,epochs,feature_normalize,bc_epoch,test_auc,test_auc_neg_score,test_dp,test_eo,val_auc_at_bc,val_auc_min,val_auc_max,val_auc_final,val_bce_at_bc,val_bce_final,n_val_epochs_auc_below_half,n_val_epochs
repro_H1000,23,4,31,16,0.001,1000,False,999,0.6542095238095238,0.3457904761904762,0.4617647058823529,0.396,0.6580952380952381,0.3571047619047619,0.7124190476190476,0.7123809523809523,0.5979112024946485,0.7161677348183476,253,1001
probe,23,4,31,64,0.01,1000,False,143,0.6832,0.3168,0.38455882352941173,0.30000000000000004,0.6937142857142857,0.3799619047619048,0.7227428571428571,0.6950857142857143,0.5888143660799285,0.8491004986314351,195,1001
probe_norm,23,4,31,64,0.01,1000,True,3,0.6006095238095238,0.3993904761904762,0.03749999999999998,0.020000000000000018,0.5206095238095239,0.5206095238095239,0.6803047619047619,0.6537904761904761,0.6210577117560799,0.7452602638111764,0,1001
repro,24,0,27,16,0.001,200,False,102,0.35900952380952383,0.6409904761904762,0.10716907266943965,0.09109042553191493,0.3571809523809524,0.3279619047619048,0.5668571428571428,0.46003809523809525,0.7110187115821578,0.7272899502266236,160,201
repro_H1000,24,0,27,16,0.001,1000,False,653,0.672,0.328,0.43732158877742433,0.4734042553191489,0.6542476190476191,0.3279238095238095,0.6613333333333333,0.6608761904761905,0.6604860544308091,0.6665367932752868,201,1001
probe,24,0,27,64,0.01,1000,False,24,0.614552380952381,0.38544761904761904,0.030258543348829603,0.017785904255319118,0.6275047619047619,0.43306666666666666,0.6865523809523809,0.6776380952380953,0.7859939674526027,1.0562289062697097,49,1001
probe_norm,24,0,27,64,0.01,1000,True,0,0.4211809523809524,0.5788190476190476,0.0,0.0,0.46940952380952383,0.46940952380952383,0.6668190476190476,0.6569904761904762,0.6264624847997293,0.8552287392871656,1,1001
repro,24,1,28,16,0.001,200,False,200,0.4838095238095238,0.5161904761904762,0.0003262376641384179,0.03540558510638303,0.5281523809523809,0.39977142857142856,0.5621333333333334,0.5281523809523809,0.7024861539229877,0.7024861539229877,144,201
repro_H1000,24,1,28,16,0.001,1000,False,816,0.6485333333333333,0.35146666666666665,0.4051056194437648,0.3651928191489362,0.6803809523809524,0.39984761904761906,0.6812190476190476,0.6793904761904762,0.5894663683829822,0.6082475579489101,144,1001
probe,24,1,28,64,0.01,1000,False,344,0.6671238095238096,0.3328761904761905,0.5360900415953023,0.5580119680851063,0.679847619047619,0.43024761904761905,0.679847619047619,0.6768,0.9516172214040148,1.0698712838844204,57,1001
probe_norm,24,1,28,64,0.01,1000,True,15,0.6355047619047619,0.3644952380952381,0.5291574912323628,0.5189494680851063,0.6434285714285715,0.5722666666666667,0.6661333333333334,0.6569142857142857,0.6294022654294096,0.8541632464556341,0,1001
repro,24,2,29,16,0.001,200,False,200,0.5535238095238095,0.44647619047619047,0.27673109860533396,0.20861037234042556,0.5427809523809524,0.36746666666666666,0.564952380952381,0.5427809523809524,0.7051804504638148,0.7051804504638148,139,201
repro_H1000,24,2,29,16,0.001,1000,False,990,0.6618666666666667,0.33813333333333334,0.3752548731751081,0.3361037234042553,0.6774857142857142,0.36746666666666666,0.6786666666666666,0.6702476190476191,0.5930328765024326,0.6401625782902919,139,1001
probe,24,2,29,64,0.01,1000,False,687,0.6732190476190476,0.3267809523809524,0.4683957262865998,0.480718085106383,0.6777904761904762,0.4348190476190476,0.6819047619047619,0.6443428571428571,0.7958126020660418,1.9589878322212753,53,1001
probe_norm,24,2,29,64,0.01,1000,True,23,0.6432,0.3568,0.5033031563494006,0.4898603723404255,0.6422095238095238,0.49866666666666665,0.6661333333333334,0.6579047619047619,0.6243146545527771,0.848775829275794,1,1001
repro,24,3,30,16,0.001,200,False,200,0.44457142857142856,0.5554285714285714,0.15716499469863798,0.15226063829787234,0.44594285714285714,0.4306285714285714,0.5624380952380953,0.44594285714285714,1.0617664803802782,1.0617664803802782,185,201
repro_H1000,24,3,30,16,0.001,1000,False,709,0.6799238095238095,0.32007619047619046,0.41293532338308453,0.4308510638297872,0.6583619047619048,0.4306285714285714,0.6627809523809524,0.6627047619047619,0.66382967217324,0.6686307502775403,245,1001
probe,24,3,30,64,0.01,1000,False,308,0.6559238095238096,0.3440761904761905,0.49571813065818443,0.496343085106383,0.6771047619047619,0.424,0.6803047619047619,0.6789333333333334,1.0143876083931864,1.0564909839716439,66,1001
probe_norm,24,3,30,64,0.01,1000,True,0,0.5606857142857142,0.4393142857142857,0.0,0.0,0.5574857142857143,0.5574857142857143,0.6677333333333333,0.6569904761904762,0.6186368945994304,0.8534612522918047,0,1001
repro,24,4,31,16,0.001,200,False,200,0.49005714285714286,0.5099428571428571,0.12560150069325504,0.17303856382978722,0.43051428571428574,0.37676190476190474,0.5578666666666666,0.43051428571428574,0.7531606089721168,0.7531606089721168,190,201
repro_H1000,24,4,31,16,0.001,1000,False,498,0.6491428571428571,0.35085714285714287,0.4105701003180817,0.3573803191489362,0.6301714285714286,0.37676190476190474,0.6583619047619048,0.6582476190476191,0.6153953574670383,0.6312307808953326,234,1001
probe,24,4,31,64,0.01,1000,False,671,0.6725333333333333,0.3274666666666667,0.49677840306663407,0.5232712765957447,0.6814476190476191,0.4298666666666667,0.6814476190476191,0.6453333333333333,0.9282536962927842,2.3737779550890847,67,1001
probe_norm,24,4,31,64,0.01,1000,True,21,0.6355047619047619,0.3644952380952381,0.5276894217437402,0.5246010638297872,0.6438095238095238,0.5629714285714286,0.6668190476190476,0.6569142857142857,0.6240936768304166,0.8562709555645686,0,1001
repro,25,0,27,16,0.001,200,False,85,0.3996190476190476,0.6003809523809523,0.058227465214761076,0.046485260770975034,0.33516190476190477,0.33043809523809525,0.5545904761904762,0.3980952380952381,0.7413759769660216,0.7638373274158341,167,201
repro_H1000,25,0,27,16,0.001,1000,False,651,0.6550857142857143,0.34491428571428573,0.10375075620084695,0.09070294784580502,0.6388571428571429,0.3304,0.6427047619047619,0.6332571428571429,0.6024353077725063,0.78131731254291,330,1001
