method,dataset,selector,coordinate,step,from_stage,to_stage,lambda1_fairness,lambda2_propagation,mean,lo,hi,resolved
FMP,pokec_z,bce,dAUC,total,base,+propagation+fairness,5.0,0.01,4.3306141902747326e-05,-0.0015465844230647,0.0012853823330697,False
FMP,pokec_z,bce,negDP,fair,+propagation,+propagation+fairness,5.0,0.01,-0.0009768162123118,-0.0030249645554603,0.0010043620963768,False
FMP,pokec_z,bce,negDP,total,base,+propagation+fairness,5.0,0.01,-0.0003252242228766,-0.0047346510854484,0.0044660870344652,False
FMP,pokec_z,bce,negEO,fair,+propagation,+propagation+fairness,5.0,0.01,0.0003314399158592,-0.0036084069049513,0.0042803293503448,False
FMP,pokec_z,bce,negEO,total,base,+propagation+fairness,5.0,0.01,0.0018079676137128,-0.0038807103929387,0.007681334684414,False
FMP,pokec_z,bce,dAUC,fair,+propagation,+propagation+fairness,30.0,0.01,-4.339031705543247e-06,-0.0012269375865586,0.000957988302338,False
FMP,pokec_z,bce,dAUC,total,base,+propagation+fairness,30.0,0.01,0.0005636649209685,-0.0010991596186346,0.0019825740565778,False
FMP,pokec_z,bce,negDP,fair,+propagation,+propagation+fairness,30.0,0.01,-0.0014755945535281,-0.004642498165613,0.0013965033149715,False
FMP,pokec_z,bce,negDP,total,base,+propagation+fairness,30.0,0.01,-0.0008240025640929,-0.0043352585818806,0.0033900582983018,False
FMP,pokec_z,bce,negEO,fair,+propagation,+propagation+fairness,30.0,0.01,0.0009546755563744,-0.003639992116989,0.0060243194603232,False
FMP,pokec_z,bce,negEO,total,base,+propagation+fairness,30.0,0.01,0.002431203254228,-0.0029994559767909,0.0084434465070161,False
FMP,pokec_z,bce,dAUC,prop,base,+propagation,0.0,20.0,-0.0033972678116891,-0.0096903837116542,0.0023422387712141,False
FMP,pokec_z,bce,negDP,prop,base,+propagation,0.0,20.0,-0.054748527227635,-0.0840534489289523,-0.0349695857529164,True
FMP,pokec_z,bce,negEO,prop,base,+propagation,0.0,20.0,-0.0540204642965114,-0.0868408829736446,-0.030315254932437,True
FMP,pokec_z,bce,dAUC,fair,+propagation,+propagation+fairness,5.0,20.0,9.888905875752308e-05,-3.230074608944506e-05,0.0002405233186871,False
FMP,pokec_z,bce,dAUC,total,base,+propagation+fairness,5.0,20.0,-0.0032983787529316,-0.0095859661592538,0.0024297879492468,False
FMP,pokec_z,bce,negDP,fair,+propagation,+propagation+fairness,5.0,20.0,-0.0020594879962307,-0.003652833357978,-0.0002063425747385,False
FMP,pokec_z,bce,negDP,total,base,+propagation+fairness,5.0,20.0,-0.0568080152238657,-0.084754214303455,-0.0379131139483069,True
FMP,pokec_z,bce,negEO,fair,+propagation,+propagation+fairness,5.0,20.0,-0.00167325120875,-0.0037000946668125,0.0003770767830596,False
FMP,pokec_z,bce,negEO,total,base,+propagation+fairness,5.0,20.0,-0.0556937155052614,-0.0871411925249221,-0.0320474334580202,True
FMP,pokec_z,bce,dAUC,fair,+propagation,+propagation+fairness,30.0,20.0,0.0001064500397678,-0.0002516561529854,0.0004384883520027,False
