method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
FairSIN,pokec_n,GCN,dAUC,6,30,0.0027522852895109,False,0.0027522852895109605,-0.0058237625992516445,0.011328333178273566,0.3333333333333333,False,False,0,False,True,6.028164079019405e-17
FairSIN,pokec_n,GCN,negDP,6,30,-0.0019086247427276,False,-0.0019086247427276763,-0.017996970049070176,0.014179720563614825,0.3333333333333333,False,False,0,False,True,-7.632783294297951e-17
FairSIN,pokec_n,GCN,negEO,6,30,-0.0005040255438316,False,-0.0005040255438316975,-0.01258869534364181,0.011580644255978417,0.5,False,False,0,False,True,-9.746977530644685e-17
FairSIN,pokec_z,GCN,dAUC,6,30,0.0012218753653554,False,0.0012218753653554834,-0.0015042391689284844,0.003947989899639451,0.5,False,False,0,False,True,8.326672684688674e-17
FairSIN,pokec_z,GCN,negDP,6,30,0.0178165961558008,True,0.017816596155800838,0.00930407066317379,0.026329121648427885,1.0,True,True,6,True,False,3.8163916471489756e-17
FairSIN,pokec_z,GCN,negEO,6,30,0.0142488094641205,True,0.014248809464120564,0.009044005302003557,0.01945361362623757,1.0,True,True,6,True,False,6.418476861114186e-17
FairVGNN,bail,default,dAUC,6,30,-0.0421380892870444,True,-0.042138089287044406,-0.06755718461225614,-0.016718993961832674,1.0,True,True,6,True,False,-6.938893903907228e-18
FairVGNN,bail,default,negDP,6,30,0.0068937713399944,False,0.006893771339994484,-0.00551910316124417,0.019306645841233136,0.6666666666666666,False,False,0,False,True,8.413408858487514e-17
FairVGNN,bail,default,negEO,6,30,-0.0054177356661364,False,-0.005417735666136463,-0.010096779783320962,-0.0007386915489519634,0.8333333333333334,False,False,0,False,True,-6.245004513516506e-17
FairVGNN,credit,default,dAUC,6,30,-0.0119918875586471,True,-0.011991887558647147,-0.015077019330649543,-0.008906755786644752,1.0,True,True,6,True,False,-4.683753385137379e-17
